img-cap(0,0): 0.14158, img-cap(0,1): 0.15816, img-cap(1,0): 0.80836, img-cap(1,1): 0.79376
img-cap(0,0): 7.0672e-05, img-cap(0,1): 6.253e-05, img-cap(1,0): 0.049911, img-cap(1,1): 0.025343
img-cap(0,0): 0.046434, img-cap(0,1): 0.028018, img-cap(1,0): 0.68061, img-cap(1,1): 0.42121
img-cap(0,0): 0.043795, img-cap(0,1): 0.32199, img-cap(1,0): 0.0075007, img-cap(1,1): 0.008397
img-cap(0,0): 0.14982, img-cap(0,1): 0.18058, img-cap(1,0): 0.05764, img-cap(1,1): 0.045553
img-cap(0,0): 0.18723, img-cap(0,1): 0.30623, img-cap(1,0): 0.26291, img-cap(1,1): 0.15662
img-cap(0,0): 0.17083, img-cap(0,1): 0.013243, img-cap(1,0): 0.091037, img-cap(1,1): 0.27388
img-cap(0,0): 0.012734, img-cap(0,1): 0.023544, img-cap(1,0): 0.0020496, img-cap(1,1): 0.0019888
img-cap(0,0): 0.00026512, img-cap(0,1): 0.00056947, img-cap(1,0): 6.4115e-05, img-cap(1,1): 0.00010936
img-cap(0,0): 0.06053, img-cap(0,1): 0.033554, img-cap(1,0): 0.96563, img-cap(1,1): 0.95737
img-cap(0,0): 0.17444, img-cap(0,1): 0.76034, img-cap(1,0): 0.025116, img-cap(1,1): 0.021075
img-cap(0,0): 0.016185, img-cap(0,1): 0.0070982, img-cap(1,0): 0.12272, img-cap(1,1): 0.10898
img-cap(0,0): 0.048069, img-cap(0,1): 0.034248, img-cap(1,0): 0.078466, img-cap(1,1): 0.074013
img-cap(0,0): 0.01745, img-cap(0,1): 0.038698, img-cap(1,0): 0.23984, img-cap(1,1): 0.12071
img-cap(0,0): 0.97969, img-cap(0,1): 0.9835, img-cap(1,0): 0.94814, img-cap(1,1): 0.9705
img-cap(0,0): 0.6213, img-cap(0,1): 0.55735, img-cap(1,0): 0.77707, img-cap(1,1): 0.54975
img-cap(0,0): 0.4409, img-cap(0,1): 0.40395, img-cap(1,0): 0.99408, img-cap(1,1): 0.99548
img-cap(0,0): 0.30833, img-cap(0,1): 0.14334, img-cap(1,0): 0.1097, img-cap(1,1): 0.25629
img-cap(0,0): 0.077944, img-cap(0,1): 0.064296, img-cap(1,0): 0.6037, img-cap(1,1): 0.68354
img-cap(0,0): 0.94456, img-cap(0,1): 0.80132, img-cap(1,0): 0.97284, img-cap(1,1): 0.97814
img-cap(0,0): 0.93478, img-cap(0,1): 0.86337, img-cap(1,0): 0.46016, img-cap(1,1): 0.33203
img-cap(0,0): 0.00085624, img-cap(0,1): 0.001132, img-cap(1,0): 0.002939, img-cap(1,1): 0.0028767
img-cap(0,0): 0.06822, img-cap(0,1): 0.051124, img-cap(1,0): 0.00041541, img-cap(1,1): 0.00040579
img-cap(0,0): 0.0030092, img-cap(0,1): 0.0060578, img-cap(1,0): 0.039966, img-cap(1,1): 0.30693
img-cap(0,0): 0.45905, img-cap(0,1): 0.49781, img-cap(1,0): 0.13906, img-cap(1,1): 0.03973
img-cap(0,0): 0.5722, img-cap(0,1): 0.50683, img-cap(1,0): 0.89535, img-cap(1,1): 0.83171
img-cap(0,0): 0.045239, img-cap(0,1): 0.048009, img-cap(1,0): 0.44109, img-cap(1,1): 0.45865
img-cap(0,0): 0.54311, img-cap(0,1): 0.643, img-cap(1,0): 0.5681, img-cap(1,1): 0.4587
img-cap(0,0): 0.85589, img-cap(0,1): 0.86325, img-cap(1,0): 0.0022928, img-cap(1,1): 0.0037304
img-cap(0,0): 0.86479, img-cap(0,1): 0.74385, img-cap(1,0): 0.098122, img-cap(1,1): 0.086966
img-cap(0,0): 0.0018846, img-cap(0,1): 0.0033861, img-cap(1,0): 0.017194, img-cap(1,1): 0.014081
img-cap(0,0): 0.16855, img-cap(0,1): 0.22839, img-cap(1,0): 0.063766, img-cap(1,1): 0.079477
img-cap(0,0): 0.80239, img-cap(0,1): 0.46636, img-cap(1,0): 0.91085, img-cap(1,1): 0.91698
img-cap(0,0): 0.6346, img-cap(0,1): 0.86767, img-cap(1,0): 0.17239, img-cap(1,1): 0.073852
img-cap(0,0): 0.98775, img-cap(0,1): 0.97882, img-cap(1,0): 0.91551, img-cap(1,1): 0.89067
img-cap(0,0): 0.082443, img-cap(0,1): 0.087198, img-cap(1,0): 0.0076917, img-cap(1,1): 0.0085794
img-cap(0,0): 0.93163, img-cap(0,1): 0.9236, img-cap(1,0): 0.69509, img-cap(1,1): 0.72619
img-cap(0,0): 0.0084228, img-cap(0,1): 0.019818, img-cap(1,0): 0.23781, img-cap(1,1): 0.67415
img-cap(0,0): 0.0048502, img-cap(0,1): 0.0040443, img-cap(1,0): 0.49318, img-cap(1,1): 0.52153
img-cap(0,0): 0.0032894, img-cap(0,1): 0.0041097, img-cap(1,0): 0.0019077, img-cap(1,1): 0.00096072
img-cap(0,0): 0.052795, img-cap(0,1): 0.056267, img-cap(1,0): 0.19379, img-cap(1,1): 0.33222
img-cap(0,0): 0.79776, img-cap(0,1): 0.84521, img-cap(1,0): 0.01342, img-cap(1,1): 0.015996
img-cap(0,0): 0.97771, img-cap(0,1): 0.9665, img-cap(1,0): 0.84319, img-cap(1,1): 0.76344
img-cap(0,0): 0.10787, img-cap(0,1): 0.060025, img-cap(1,0): 0.00061489, img-cap(1,1): 0.00056825
img-cap(0,0): 0.0080324, img-cap(0,1): 0.0063299, img-cap(1,0): 0.10819, img-cap(1,1): 0.12273
img-cap(0,0): 0.054839, img-cap(0,1): 0.053994, img-cap(1,0): 0.81246, img-cap(1,1): 0.8464
img-cap(0,0): 0.016622, img-cap(0,1): 0.018427, img-cap(1,0): 0.069042, img-cap(1,1): 0.039146
img-cap(0,0): 0.86869, img-cap(0,1): 0.96773, img-cap(1,0): 0.83458, img-cap(1,1): 0.92002
img-cap(0,0): 0.00050272, img-cap(0,1): 0.0014626, img-cap(1,0): 0.0045576, img-cap(1,1): 0.01783
img-cap(0,0): 0.0006455, img-cap(0,1): 0.00049236, img-cap(1,0): 0.0023666, img-cap(1,1): 0.0039364
img-cap(0,0): 0.0040549, img-cap(0,1): 0.0045282, img-cap(1,0): 0.064387, img-cap(1,1): 0.11867
img-cap(0,0): 0.8574, img-cap(0,1): 0.23592, img-cap(1,0): 0.053734, img-cap(1,1): 0.016218
img-cap(0,0): 0.00095756, img-cap(0,1): 0.0037291, img-cap(1,0): 0.0068003, img-cap(1,1): 0.037226
img-cap(0,0): 0.035018, img-cap(0,1): 0.053874, img-cap(1,0): 0.0059991, img-cap(1,1): 0.014615
img-cap(0,0): 0.99721, img-cap(0,1): 0.99708, img-cap(1,0): 0.99756, img-cap(1,1): 0.99699
img-cap(0,0): 0.0096085, img-cap(0,1): 0.0065297, img-cap(1,0): 0.002765, img-cap(1,1): 0.0053892
img-cap(0,0): 0.020897, img-cap(0,1): 0.029068, img-cap(1,0): 0.037609, img-cap(1,1): 0.040258
img-cap(0,0): 0.10286, img-cap(0,1): 0.10795, img-cap(1,0): 0.030059, img-cap(1,1): 0.030029
img-cap(0,0): 0.11682, img-cap(0,1): 0.2027, img-cap(1,0): 0.10971, img-cap(1,1): 0.1103
img-cap(0,0): 0.0031868, img-cap(0,1): 0.002386, img-cap(1,0): 0.0041681, img-cap(1,1): 0.003247
img-cap(0,0): 0.96167, img-cap(0,1): 0.97064, img-cap(1,0): 0.80949, img-cap(1,1): 0.7945
img-cap(0,0): 0.0056985, img-cap(0,1): 0.0029276, img-cap(1,0): 0.005763, img-cap(1,1): 0.0026844
img-cap(0,0): 0.018633, img-cap(0,1): 0.0057016, img-cap(1,0): 0.00032414, img-cap(1,1): 0.00058032
img-cap(0,0): 0.0010109, img-cap(0,1): 0.00090006, img-cap(1,0): 0.52995, img-cap(1,1): 0.60164
img-cap(0,0): 0.38069, img-cap(0,1): 0.17006, img-cap(1,0): 0.097188, img-cap(1,1): 0.090812
img-cap(0,0): 0.177, img-cap(0,1): 0.16027, img-cap(1,0): 0.022311, img-cap(1,1): 0.10457
img-cap(0,0): 0.14295, img-cap(0,1): 0.21015, img-cap(1,0): 0.26955, img-cap(1,1): 0.80385
img-cap(0,0): 0.0090961, img-cap(0,1): 0.023036, img-cap(1,0): 0.021148, img-cap(1,1): 0.024406
img-cap(0,0): 0.90492, img-cap(0,1): 0.96639, img-cap(1,0): 0.42731, img-cap(1,1): 0.29148
img-cap(0,0): 0.0081342, img-cap(0,1): 0.018687, img-cap(1,0): 0.23034, img-cap(1,1): 0.052545
img-cap(0,0): 0.044302, img-cap(0,1): 0.24045, img-cap(1,0): 0.0014994, img-cap(1,1): 0.00066761
img-cap(0,0): 0.96308, img-cap(0,1): 0.94404, img-cap(1,0): 0.7174, img-cap(1,1): 0.9366
img-cap(0,0): 0.0020957, img-cap(0,1): 0.0016922, img-cap(1,0): 0.18234, img-cap(1,1): 0.099969
img-cap(0,0): 0.99843, img-cap(0,1): 0.98553, img-cap(1,0): 0.77174, img-cap(1,1): 0.97324
img-cap(0,0): 0.30354, img-cap(0,1): 0.13418, img-cap(1,0): 0.051805, img-cap(1,1): 0.094299
img-cap(0,0): 0.10683, img-cap(0,1): 0.10666, img-cap(1,0): 0.047243, img-cap(1,1): 0.042811
img-cap(0,0): 0.073004, img-cap(0,1): 0.07395, img-cap(1,0): 0.27217, img-cap(1,1): 0.40055
img-cap(0,0): 0.46216, img-cap(0,1): 0.12581, img-cap(1,0): 0.102, img-cap(1,1): 0.20811
img-cap(0,0): 0.15777, img-cap(0,1): 0.064365, img-cap(1,0): 0.053171, img-cap(1,1): 0.050712
img-cap(0,0): 0.008638, img-cap(0,1): 0.0027902, img-cap(1,0): 0.0030183, img-cap(1,1): 0.00054518
img-cap(0,0): 0.33116, img-cap(0,1): 0.089298, img-cap(1,0): 0.025343, img-cap(1,1): 0.0097948
img-cap(0,0): 0.43566, img-cap(0,1): 0.23617, img-cap(1,0): 0.0013199, img-cap(1,1): 0.0084423
img-cap(0,0): 0.81309, img-cap(0,1): 0.66461, img-cap(1,0): 0.016318, img-cap(1,1): 0.02539
img-cap(0,0): 0.44882, img-cap(0,1): 0.23413, img-cap(1,0): 0.97378, img-cap(1,1): 0.89363
img-cap(0,0): 0.017883, img-cap(0,1): 0.013705, img-cap(1,0): 0.00053572, img-cap(1,1): 0.00064557
img-cap(0,0): 0.014039, img-cap(0,1): 0.012149, img-cap(1,0): 0.91057, img-cap(1,1): 0.66456
img-cap(0,0): 0.027511, img-cap(0,1): 0.01298, img-cap(1,0): 0.83516, img-cap(1,1): 0.63331
img-cap(0,0): 0.13095, img-cap(0,1): 0.082999, img-cap(1,0): 0.041907, img-cap(1,1): 0.085328
img-cap(0,0): 0.011314, img-cap(0,1): 0.0035666, img-cap(1,0): 0.017501, img-cap(1,1): 0.00087093
img-cap(0,0): 0.095378, img-cap(0,1): 0.12739, img-cap(1,0): 0.049024, img-cap(1,1): 0.048367
img-cap(0,0): 0.077441, img-cap(0,1): 0.058265, img-cap(1,0): 0.0020731, img-cap(1,1): 0.0023245
img-cap(0,0): 0.93538, img-cap(0,1): 0.95288, img-cap(1,0): 0.01284, img-cap(1,1): 0.0084583
img-cap(0,0): 0.011544, img-cap(0,1): 0.0051493, img-cap(1,0): 0.0044664, img-cap(1,1): 0.0021203
img-cap(0,0): 0.050709, img-cap(0,1): 0.0055124, img-cap(1,0): 0.096185, img-cap(1,1): 0.084118
img-cap(0,0): 0.96227, img-cap(0,1): 0.98142, img-cap(1,0): 0.91433, img-cap(1,1): 0.32758
img-cap(0,0): 0.57781, img-cap(0,1): 0.24472, img-cap(1,0): 0.59482, img-cap(1,1): 0.1938
img-cap(0,0): 0.026515, img-cap(0,1): 0.029565, img-cap(1,0): 0.2042, img-cap(1,1): 0.17274
img-cap(0,0): 0.0035263, img-cap(0,1): 0.0041362, img-cap(1,0): 0.0029738, img-cap(1,1): 0.0071076
img-cap(0,0): 0.020803, img-cap(0,1): 0.0074262, img-cap(1,0): 0.0021721, img-cap(1,1): 0.0026481
img-cap(0,0): 0.44425, img-cap(0,1): 0.49641, img-cap(1,0): 0.010273, img-cap(1,1): 0.012079
img-cap(0,0): 0.0036704, img-cap(0,1): 0.010174, img-cap(1,0): 0.53272, img-cap(1,1): 0.73992
img-cap(0,0): 0.34168, img-cap(0,1): 0.56471, img-cap(1,0): 0.0092767, img-cap(1,1): 0.020641
img-cap(0,0): 0.085331, img-cap(0,1): 0.078356, img-cap(1,0): 0.12716, img-cap(1,1): 0.11504
img-cap(0,0): 0.090405, img-cap(0,1): 0.094103, img-cap(1,0): 0.1653, img-cap(1,1): 0.17192
img-cap(0,0): 0.0038239, img-cap(0,1): 0.002717, img-cap(1,0): 0.074466, img-cap(1,1): 0.067165
img-cap(0,0): 0.0031389, img-cap(0,1): 0.0031311, img-cap(1,0): 0.040542, img-cap(1,1): 0.045747
img-cap(0,0): 0.0041068, img-cap(0,1): 0.002045, img-cap(1,0): 0.8583, img-cap(1,1): 0.64371
img-cap(0,0): 0.0010919, img-cap(0,1): 0.0011407, img-cap(1,0): 0.0014811, img-cap(1,1): 0.0016009
img-cap(0,0): 0.00018239, img-cap(0,1): 0.00015893, img-cap(1,0): 0.00010694, img-cap(1,1): 0.0001117
img-cap(0,0): 0.23545, img-cap(0,1): 0.18408, img-cap(1,0): 0.056378, img-cap(1,1): 0.044888
img-cap(0,0): 0.91033, img-cap(0,1): 0.41386, img-cap(1,0): 0.016793, img-cap(1,1): 0.046984
img-cap(0,0): 0.98107, img-cap(0,1): 0.9861, img-cap(1,0): 0.02631, img-cap(1,1): 0.013951
img-cap(0,0): 0.16584, img-cap(0,1): 0.18398, img-cap(1,0): 0.31865, img-cap(1,1): 0.35106
img-cap(0,0): 0.026721, img-cap(0,1): 0.032812, img-cap(1,0): 0.058929, img-cap(1,1): 0.084311
img-cap(0,0): 0.14062, img-cap(0,1): 0.26232, img-cap(1,0): 0.077522, img-cap(1,1): 0.15334
img-cap(0,0): 0.027351, img-cap(0,1): 0.02612, img-cap(1,0): 0.67585, img-cap(1,1): 0.68284
img-cap(0,0): 0.28318, img-cap(0,1): 0.13382, img-cap(1,0): 0.13929, img-cap(1,1): 0.02974
img-cap(0,0): 0.065794, img-cap(0,1): 0.16747, img-cap(1,0): 0.035734, img-cap(1,1): 0.18174
img-cap(0,0): 0.058494, img-cap(0,1): 0.056784, img-cap(1,0): 0.083276, img-cap(1,1): 0.077949
img-cap(0,0): 0.0066799, img-cap(0,1): 0.002546, img-cap(1,0): 0.18021, img-cap(1,1): 0.0050563
img-cap(0,0): 0.13682, img-cap(0,1): 0.38911, img-cap(1,0): 0.046837, img-cap(1,1): 0.041103
img-cap(0,0): 0.036443, img-cap(0,1): 0.040583, img-cap(1,0): 0.73036, img-cap(1,1): 0.78747
img-cap(0,0): 0.28982, img-cap(0,1): 0.27398, img-cap(1,0): 0.17416, img-cap(1,1): 0.073735
img-cap(0,0): 0.0019498, img-cap(0,1): 0.0022617, img-cap(1,0): 0.00098994, img-cap(1,1): 0.0012378
img-cap(0,0): 0.063609, img-cap(0,1): 0.044363, img-cap(1,0): 0.59151, img-cap(1,1): 0.38867
img-cap(0,0): 0.026689, img-cap(0,1): 0.021305, img-cap(1,0): 0.0181, img-cap(1,1): 0.017197
img-cap(0,0): 0.45827, img-cap(0,1): 0.1872, img-cap(1,0): 0.63916, img-cap(1,1): 0.62787
img-cap(0,0): 0.11837, img-cap(0,1): 0.11105, img-cap(1,0): 0.22109, img-cap(1,1): 0.1287
img-cap(0,0): 0.016438, img-cap(0,1): 0.0046927, img-cap(1,0): 0.47974, img-cap(1,1): 0.049582
img-cap(0,0): 0.032734, img-cap(0,1): 0.033987, img-cap(1,0): 0.63182, img-cap(1,1): 0.60595
img-cap(0,0): 0.00012064, img-cap(0,1): 0.0001342, img-cap(1,0): 0.0090054, img-cap(1,1): 0.016797
img-cap(0,0): 0.83173, img-cap(0,1): 0.30269, img-cap(1,0): 0.049847, img-cap(1,1): 0.061867
img-cap(0,0): 0.055923, img-cap(0,1): 0.087212, img-cap(1,0): 0.015424, img-cap(1,1): 0.028752
img-cap(0,0): 0.024326, img-cap(0,1): 0.018435, img-cap(1,0): 0.043994, img-cap(1,1): 0.036021
img-cap(0,0): 0.14336, img-cap(0,1): 0.14901, img-cap(1,0): 0.017406, img-cap(1,1): 0.020493
img-cap(0,0): 0.38356, img-cap(0,1): 0.36692, img-cap(1,0): 0.13226, img-cap(1,1): 0.11439
img-cap(0,0): 0.80159, img-cap(0,1): 0.74913, img-cap(1,0): 0.82659, img-cap(1,1): 0.35824
img-cap(0,0): 0.058361, img-cap(0,1): 0.060069, img-cap(1,0): 0.12584, img-cap(1,1): 0.10082
img-cap(0,0): 0.21768, img-cap(0,1): 0.14723, img-cap(1,0): 0.36837, img-cap(1,1): 0.24975
img-cap(0,0): 0.19082, img-cap(0,1): 0.058455, img-cap(1,0): 0.14114, img-cap(1,1): 0.064295
img-cap(0,0): 0.72152, img-cap(0,1): 0.41193, img-cap(1,0): 0.00075035, img-cap(1,1): 0.00083642
img-cap(0,0): 0.0085514, img-cap(0,1): 0.014383, img-cap(1,0): 0.0024712, img-cap(1,1): 0.0032582
img-cap(0,0): 0.32891, img-cap(0,1): 0.1766, img-cap(1,0): 0.0034474, img-cap(1,1): 0.0025886
img-cap(0,0): 0.003152, img-cap(0,1): 0.0097797, img-cap(1,0): 0.94777, img-cap(1,1): 0.99138
