,image_0,image_1,caption_0,caption_1
33,ex_33_img_0,ex_33_img_1,the square table has a round base,the round table has a square base
34,ex_34_img_0,ex_34_img_1,pointy bushes are behind rectangular bushes,rectangular bushes are behind pointy bushes
35,ex_35_img_0,ex_35_img_1,a circular sign is above a rectangular sign,a rectangular sign is above a circular sign
36,ex_36_img_0,ex_36_img_1,a wood chess piece rests on metal objects,a metal chess piece rests on wood objects
37,ex_37_img_0,ex_37_img_1,soft shoes are on a smooth floor,smooth shoes are on a soft floor
38,ex_38_img_0,ex_38_img_1,the happy person is on the right and the sad person is on the left,the sad person is on the right and the happy person is on the left
39,ex_39_img_0,ex_39_img_1,the hurt person is on the left and the helpful person is on the right,the helpful person is on the left and the hurt person is on the right
40,ex_40_img_0,ex_40_img_1,the more content person has the healthier food and the less content person has the less healthy food,the less content person has the healthier food and the more content person has the less healthy food
41,ex_41_img_0,ex_41_img_1,the orange lollipop is sad and the red lollipop is surprised,the orange lollipop is surprised and the red lollipop is sad
42,ex_42_img_0,ex_42_img_1,the larger person wears yellow and the smaller person does not,the smaller person wears yellow and the larger person does not
43,ex_43_img_0,ex_43_img_1,a big cat is next to a small dog,a small cat is next to a big dog
44,ex_44_img_0,ex_44_img_1,the heavy oncoming traffic is contrasted with the light outgoing traffic,the light oncoming traffic is contrasted with the heavy outgoing traffic
45,ex_45_img_0,ex_45_img_1,a cold drink on a hot day,a hot drink on a cold day
46,ex_46_img_0,ex_46_img_1,a person is drinking now and eating later,a person is drinking later and eating now
47,ex_47_img_0,ex_47_img_1,the sailboat sails close but the beach is far away,the sailboat sails far away but the beach is close
48,ex_48_img_0,ex_48_img_1,the passenger is riding inattentive to the road and the driver is driving attentive to the road,the passenger is riding attentive to the road and the driver is driving inattentive to the road
49,ex_49_img_0,ex_49_img_1,it wears a hat but the person doesn't,the person wears a hat but it doesn't
50,ex_50_img_0,ex_50_img_1,the person with green legs is running quite slowly and the red legged one runs faster,the person with green legs is running faster and the red legged one runs quite slowly
51,ex_51_img_0,ex_51_img_1,a person is in the water and close to the sand,a person is close to the water and in the sand
52,ex_52_img_0,ex_52_img_1,a frog is above rocks which are under the water,a frog is under rocks which are above the water
53,ex_53_img_0,ex_53_img_1,driving off the road and on the unpaved terrain,driving on the road and off the unpaved terrain
54,ex_54_img_0,ex_54_img_1,someone is in a helicopter with a car,someone is with a helicopter in a car
55,ex_55_img_0,ex_55_img_1,the green one can fit inside the blue one and the blue one can fit outside the green one,the green one can fit outside the blue one and the blue one can fit inside the green one
56,ex_56_img_0,ex_56_img_1,jumping away from the photographer and towards the others,jumping towards the photographer and away from the others
57,ex_57_img_0,ex_57_img_1,someone bakes the dough before the dough is eaten,the dough is eaten before someone bakes the dough
58,ex_58_img_0,ex_58_img_1,it hatched before it was eaten,it was eaten before it hatched
59,ex_59_img_0,ex_59_img_1,there are three bananas and two apples,there are two bananas and three apples
60,ex_60_img_0,ex_60_img_1,someone has loaded their plate with one of the toast slices and two of the eggs,someone has loaded their plate with two of the toast slices and one of the eggs
61,ex_61_img_0,ex_61_img_1,there are three people and two windows,there are two people and three windows
62,ex_62_img_0,ex_62_img_1,there are 50 stars on the right flag and 5 stars on the left flag,there are 5 stars on the right flag and 50 stars on the left flag
63,ex_63_img_0,ex_63_img_1,no people wear blue shirts and six people wear white shirts,six people wear blue shirts and no people wear white shirts
64,ex_64_img_0,ex_64_img_1,the dog's leg is on the person's torso,the person's leg is on the dog's torso
65,ex_65_img_0,ex_65_img_1,the animal's eyes are bigger than the person's,the person's eyes are bigger than the animal's
66,ex_66_img_0,ex_66_img_1,the taller person's arm is around the shorter person's shoulder,the shorter person's arm is around the taller person's shoulder
67,ex_67_img_0,ex_67_img_1,the person in a brown coat looks back and the person in a black coat looks forward,the person in a black coat looks back and the person in a brown coat looks forward
68,ex_68_img_0,ex_68_img_1,it ran away while they pursued,they ran away while it pursued
69,ex_69_img_0,ex_69_img_1,almost everyone is in a boat and one is swimming,one is in a boat and almost everyone is swimming
70,ex_70_img_0,ex_70_img_1,the person with the lighter shoes is holding an emoji and the person with the darker shoes isn't,the person with the darker shoes is holding an emoji and the person with the lighter shoes isn't
71,ex_71_img_0,ex_71_img_1,the person wearing neutral colors poses and the person wearing brighter colors takes a picture,the person wearing brighter colors poses and the person wearing neutral colors takes a picture
72,ex_72_img_0,ex_72_img_1,it's a fire truck,it's a truck fire
73,ex_73_img_0,ex_73_img_1,watching the present,presenting the watch
74,ex_74_img_0,ex_74_img_1,walking out on a rock,rocking out on a walk
75,ex_75_img_0,ex_75_img_1,the kid with the magnifying glass looks at them,the kid looks at them with the magnifying glass
76,ex_76_img_0,ex_76_img_1,the person with the kids is sitting,the person is sitting with the kids
77,ex_77_img_0,ex_77_img_1,the people with shoes are touching each other,the people are touching each other with shoes
78,ex_78_img_0,ex_78_img_1,someone with an apple is hurt by a tree,someone is hurt by a tree with an apple
79,ex_79_img_0,ex_79_img_1,the person that is on the table is eating the food,the person is eating the food that is on the table
80,ex_80_img_0,ex_80_img_1,the watering can is larger than the pot,the pot is larger than the watering can
81,ex_81_img_0,ex_81_img_1,they hold a suitcase handle with their left hand and they hold a passport with their right hand,they hold a passport with their left hand and they hold a suitcase handle with their right hand
82,ex_82_img_0,ex_82_img_1,the person with the patterned shirt is curly-haired and the other is straight-haired,the person with the patterned shirt is straight-haired and the other is curly-haired
83,ex_83_img_0,ex_83_img_1,a diagram showing movement from right to left,a diagram showing movement from left to right
84,ex_84_img_0,ex_84_img_1,the flip flops are too big for these feet,the feet are too big for these flip flops
85,ex_85_img_0,ex_85_img_1,the person who is wearing a crown is kissing a frog,the person is kissing a frog who is wearing a crown
86,ex_86_img_0,ex_86_img_1,a dog sitting on a couch with a person lying on the floor,a person lying on a couch with a dog sitting on the floor
87,ex_87_img_0,ex_87_img_1,The uncaged bird has an opened cage door,The caged bird has an unopened cage door
88,ex_88_img_0,ex_88_img_1,meat with potatoes,potatoes with meat
89,ex_89_img_0,ex_89_img_1,the person in pink was close to not winning,the person in pink was not close to winning
90,ex_90_img_0,ex_90_img_1,two humans and one wheel,two wheels and one human
91,ex_91_img_0,ex_91_img_1,clothing on lines,lines on clothing
92,ex_92_img_0,ex_92_img_1,someone talks on the phone angrily while another person sits happily,someone talks on the phone happily while another person sits angrily
93,ex_93_img_0,ex_93_img_1,two boats and one direction down the stream,one boat and two directions down the stream
94,ex_94_img_0,ex_94_img_1,The dog rides without a visible tongue,The dog rides with a visible tongue out
95,ex_95_img_0,ex_95_img_1,handing a hammer,hammering a hand
96,ex_96_img_0,ex_96_img_1,leaves its shedding,shedding its leaves
97,ex_97_img_0,ex_97_img_1,they are using no bait but still got fish,they are using bait but still got no fish
98,ex_98_img_0,ex_98_img_1,someone on the ground is spraying water towards a vehicle,someone is on a vehicle spraying water towards the ground
99,ex_99_img_0,ex_99_img_1,the dog wears as a hat what someone would normally bite,the dog bites what someone would normally wear as a hat
100,ex_100_img_0,ex_100_img_1,the happy one is on the left and the upset one is on the right,the upset one is on the left and the happy one is on the right
101,ex_101_img_0,ex_101_img_1,fake mustache and real hair on head,real mustache and fake hair on head
102,ex_102_img_0,ex_102_img_1,real cat with toy baby,toy cat with real baby
103,ex_103_img_0,ex_103_img_1,the lion is loud and the lionness is quiet,the lion is quiet and the lionness is loud
104,ex_104_img_0,ex_104_img_1,there is a pink couch with green pillows,there is a green couch with pink pillows
105,ex_105_img_0,ex_105_img_1,light colored dog with dark colored cat,dark colored dog with light colored cat
106,ex_106_img_0,ex_106_img_1,someone is wearing a black hat and yellow shirt,someone is wearing a yellow hat and black shirt
107,ex_107_img_0,ex_107_img_1,black socks and orange shoes,orange socks and black shoes
108,ex_108_img_0,ex_108_img_1,red building with white shutters,white building with red shutters
109,ex_109_img_0,ex_109_img_1,blue pants and green top,green pants and blue top
110,ex_110_img_0,ex_110_img_1,there's one blue and many yellow balls,there's one yellow and many blue balls
111,ex_111_img_0,ex_111_img_1,there are more silver coins than gold coins,there are more gold coins than silver coins
112,ex_112_img_0,ex_112_img_1,the red team kicking the ball directly next to the blue team,the blue team kicking the ball directly next to the red team
113,ex_113_img_0,ex_113_img_1,black dog wearing a brown sweater,brown dog wearing a black sweater
114,ex_114_img_0,ex_114_img_1,one green apple surrounded by a bunch of red apples,one red apple surrounded by a bunch of green apples
115,ex_115_img_0,ex_115_img_1,person in white is reading the orange book,person in orange is reading the white book
116,ex_116_img_0,ex_116_img_1,the children are being quiet while the adult is loud,the children are being loud while the adult is quiet
117,ex_117_img_0,ex_117_img_1,the circular mirror is on the left and the rectangular mirror is on the right,the rectangular mirror is on the left and the circular mirror is on the right
118,ex_118_img_0,ex_118_img_1,circular food on heart-shaped wood,heart-shaped food on circular wood
119,ex_119_img_0,ex_119_img_1,the dress on the left is long and the dress on the right is short,the dress on the left is short and the dress on the right is long
120,ex_120_img_0,ex_120_img_1,the balloon in the middle has less air and the other balloons have more air,the balloon in the middle has more air and the other balloons have less air
121,ex_121_img_0,ex_121_img_1,the pool has no people and the area around it has a lot of people,the pool has a lot of people and the area around it has no people
122,ex_122_img_0,ex_122_img_1,big fish beside a small person,small fish beside a big person
123,ex_123_img_0,ex_123_img_1,the train is moving fast while the person is still,the train is still while the person is moving fast
124,ex_124_img_0,ex_124_img_1,they're enjoying hot water on a cold day,they're enjoying cold water on a hot day
125,ex_125_img_0,ex_125_img_1,concrete floors with wood walls,wood floors with concrete walls
126,ex_126_img_0,ex_126_img_1,the person on the left has curly hair and the person on the right has straight hair,the person on the left has straight hair and the person on the right has curly hair
127,ex_127_img_0,ex_127_img_1,there's a metal bottle with a plastic lid,there's a plastic bottle with a metal lid
128,ex_128_img_0,ex_128_img_1,the fruit is heavy while the junk food is light,the fruit is light while the junk food is heavy
129,ex_129_img_0,ex_129_img_1,the car is sitting upside down while the person is standing rightside up,the car is sitting rightside up while the person is standing upside down
130,ex_130_img_0,ex_130_img_1,the cup on the left is filled first and the cup on the right is filled second,the cup on the left is filled second and the cup on the right is filled first
131,ex_131_img_0,ex_131_img_1,milk cow,cow milk
132,ex_132_img_0,ex_132_img_1,there is a clock wall,there is a wall clock
133,ex_133_img_0,ex_133_img_1,there is a split banana,there is a banana split
134,ex_134_img_0,ex_134_img_1,there are two people and a bunch of horses,there are a bunch of people and two horses
135,ex_135_img_0,ex_135_img_1,three white and two brown eggs,two white and three brown eggs
136,ex_136_img_0,ex_136_img_1,the plastic is in the fish,the fish is in the plastic
137,ex_137_img_0,ex_137_img_1,the dog's paw is on the cat's face,the cat's paw is on the dog's face
138,ex_138_img_0,ex_138_img_1,the computer's screen is on and the phone's screen is off,the phone's screen is on and the computer's screen is off
139,ex_139_img_0,ex_139_img_1,the dog is in the driver's seat and the person is in the passenger's seat,the dog is in the passenger's seat and the person is in the driver's seat
140,ex_140_img_0,ex_140_img_1,there are more trees than people,there are more people than trees
141,ex_141_img_0,ex_141_img_1,there are more computers than people,there are more people than computers
142,ex_142_img_0,ex_142_img_1,there is more wood than metal,there is more metal than wood
143,ex_143_img_0,ex_143_img_1,there are more hats than people,there are more people than hats
144,ex_144_img_0,ex_144_img_1,there are more people than stools,there are more stools than people
145,ex_145_img_0,ex_145_img_1,there is more red wine than white wine,there is more white wine than red wine
146,ex_146_img_0,ex_146_img_1,there's more milk than coffee,there's more coffee than milk
147,ex_147_img_0,ex_147_img_1,there's more cereal in the bowl than milk,there's more milk in the bowl than cereal
148,ex_148_img_0,ex_148_img_1,boat sail,sail boat
149,ex_149_img_0,ex_149_img_1,boat house,house boat
150,ex_150_img_0,ex_150_img_1,check a rip,rip a check
151,ex_151_img_0,ex_151_img_1,dress the display,display the dress
152,ex_152_img_0,ex_152_img_1,spoon holding honey,honey holding spoon
153,ex_153_img_0,ex_153_img_1,books holding up a person,a person holding up books
154,ex_154_img_0,ex_154_img_1,a dog is using a wheelchair next to a person,a person is using a wheelchair next to a dog
155,ex_155_img_0,ex_155_img_1,some plants surrounding a lightbulb,a lightbulb surrounding some plants
156,ex_156_img_0,ex_156_img_1,a more lightly-colored dog is holding a toy next to a black dog,a black dog is holding a toy next to a more lightly-colored dog
157,ex_157_img_0,ex_157_img_1,the flowers are taller than the people,the people are taller than the flowers
158,ex_158_img_0,ex_158_img_1,there's a human in a stroller next to a dog,there's a dog in a stroller next to a human
159,ex_159_img_0,ex_159_img_1,a person is casting a shadow beside a ball,a ball is casting a shadow beside a person
160,ex_160_img_0,ex_160_img_1,its tail is shorter than its body,its body is shorter than its tail
161,ex_161_img_0,ex_161_img_1,the child is throwing the adult the ball,the adult is throwing the child the ball
162,ex_162_img_0,ex_162_img_1,a person underneath lights,lights underneath a person
163,ex_163_img_0,ex_163_img_1,some green on the ball,the ball on some green
164,ex_164_img_0,ex_164_img_1,mind in the clouds,clouds in the mind
165,ex_165_img_0,ex_165_img_1,there's a phone on a map,there's a map on a phone
166,ex_166_img_0,ex_166_img_1,a person on a rock next to a dog,a dog on a rock next to a person
167,ex_167_img_0,ex_167_img_1,an adult is flexing beside a child,a child is flexing beside an adult
168,ex_168_img_0,ex_168_img_1,the person is looking at the dog,the dog is looking at the person
169,ex_169_img_0,ex_169_img_1,a cat is underneath a red blanket,a red blanket is underneath a cat
170,ex_170_img_0,ex_170_img_1,the person is bigger than the house,the house is bigger than the person
171,ex_171_img_0,ex_171_img_1,the person is underneath the car,the car is underneath the person
172,ex_172_img_0,ex_172_img_1,the water is filled with plastic,the plastic is filled with water
173,ex_173_img_0,ex_173_img_1,an apple is on a target,a target is on an apple
174,ex_174_img_0,ex_174_img_1,plant made out of a light bulb,light bulb made out of a plant
175,ex_175_img_0,ex_175_img_1,parent pointing at child,child pointing at parent
176,ex_176_img_0,ex_176_img_1,the person reached the base before the ball,the ball reached the base before the person
177,ex_177_img_0,ex_177_img_1,ice being dumped on top of fish,fish being dumped on top of ice
178,ex_178_img_0,ex_178_img_1,an adult kisses a child,a child kisses an adult
179,ex_179_img_0,ex_179_img_1,there's a dog in a mask and a person beside it,there's a dog and a person in a mask beside it
180,ex_180_img_0,ex_180_img_1,the baby on the phone is next to an adult,the baby is next to an adult on the phone
181,ex_181_img_0,ex_181_img_1,the person on the left has their arms up and the person on the right has their arms down,the person on the right has their arms up and the person on the left has their arms down
182,ex_182_img_0,ex_182_img_1,the person on the left is holding the phone and the person on the right is staring at it,the person on the right is holding the phone and the person on the left is staring at it
183,ex_183_img_0,ex_183_img_1,the orange on the left is moldy while the orange on the right is fresh,the orange on the right is moldy while the orange on the left is fresh
184,ex_184_img_0,ex_184_img_1,a pink scoop of ice cream on top and a blue scoop on bottom,a pink scoop of ice cream on bottom and a blue scoop on top
185,ex_185_img_0,ex_185_img_1,the glasses on the right are fuller than the glasses on the left,the glasses on the left are fuller than the glasses on the right
186,ex_186_img_0,ex_186_img_1,the person on the left is blowing bubbles and the person on the right is watching,the person on the right is blowing bubbles and the person on the left is watching
187,ex_187_img_0,ex_187_img_1,there's more foam on the left than on the right,there's more foam on the right than on the left
188,ex_188_img_0,ex_188_img_1,a fish is jumping from left to right,a fish is jumping from right to left
189,ex_189_img_0,ex_189_img_1,they worked out then they drank water,they drank water then they worked out
190,ex_190_img_0,ex_190_img_1,the shrimp are peeled then the shrimp are cooked,the shrimp are cooked then the shrimp are peeled
191,ex_191_img_0,ex_191_img_1,the coffee is poured before it is ground,it is ground before the coffee is poured
192,ex_192_img_0,ex_192_img_1,the potato is washed and then it is cut,the potato is cut and then it is washed
193,ex_193_img_0,ex_193_img_1,the banana is peeled then it is sliced,the banana is sliced then it is peeled
194,ex_194_img_0,ex_194_img_1,the dog is swimming and the person is standing,the dog is standing and the person is swimming
195,ex_195_img_0,ex_195_img_1,the person is jumping while the cat is sitting,the person is sitting while the cat is jumping
196,ex_196_img_0,ex_196_img_1,a cat is lying down and a person is stretching,a cat is stretching and a person is lying down
197,ex_197_img_0,ex_197_img_1,some people are standing but more are sitting,some people are sitting but more are standing
198,ex_198_img_0,ex_198_img_1,The kid throws the pancake and the adult sees it,The kids see the pancake and the adult throws it
199,ex_199_img_0,ex_199_img_1,painting gray walls white,painting white walls gray
200,ex_200_img_0,ex_200_img_1,a shorter person wearing blue standing next to a taller person,a taller person wearing blue standing next to a shorter person
201,ex_201_img_0,ex_201_img_1,a person wearing a bear mask in blue on the left hand side of a person wearing a panda mask with glasses in pink,a person wearing a panda mask with glasses in blue on the left hand side of a person wearing a bear mask in pink
202,ex_202_img_0,ex_202_img_1,a car containing many a box,a box containing many a car
203,ex_203_img_0,ex_203_img_1,left is red and right is blue,left is blue and right is red
204,ex_204_img_0,ex_204_img_1,"many a table tennis racket, just one ball","just one table tennis racket, many a ball"
205,ex_205_img_0,ex_205_img_1,"four lions, no tigers","no lions, four tigers"
206,ex_206_img_0,ex_206_img_1,a small spherical object is heavier than a big spherical object,a big spherical object is heavier than a small spherical object
207,ex_207_img_0,ex_207_img_1,an older person blocking a younger person,a younger person blocking an older person
208,ex_208_img_0,ex_208_img_1,white land and black water,black land and white water
209,ex_209_img_0,ex_209_img_1,the cube is smaller than the shape whose lateral faces meet at a vertex,the shape whose lateral faces meet at a vertex is smaller than the cube
210,ex_210_img_0,ex_210_img_1,more bicycles than cars,more cars than bicycles
211,ex_211_img_0,ex_211_img_1,there are more apples than pears,there are more pears than apples
212,ex_212_img_0,ex_212_img_1,there is more love than hate,there is more hate than love
213,ex_213_img_0,ex_213_img_1,more water than oil,more oil than water
214,ex_214_img_0,ex_214_img_1,a person cries while another person wearing jewelry above their shoulders consoles,a person consoles while another person wearing jewelry above their shoulders cries
215,ex_215_img_0,ex_215_img_1,a person with long hair eating a meat-based product while a person with short hair snacks on some fries,a person with short hair eating a meat-based product while a person with long hair snacks on some fries
216,ex_216_img_0,ex_216_img_1,water below the boat,boat below the water
217,ex_217_img_0,ex_217_img_1,the one in front is faster than the other one,the other one is faster than the one in front
218,ex_218_img_0,ex_218_img_1,You can catch more flies with honey than you can with vinegar,You can catch more flies with vinegar than you can with honey
219,ex_219_img_0,ex_219_img_1,"It starts with ""A"" and ends with ""Z""","It starts with ""Z"" and ends with ""A"""
220,ex_220_img_0,ex_220_img_1,a shadow within the line,a line within the shadow
221,ex_221_img_0,ex_221_img_1,the brave in the face of fear,fear in the face of the brave
222,ex_222_img_0,ex_222_img_1,I need my strength back,I need my back strength
223,ex_223_img_0,ex_223_img_1,the one in the middle is taller than the ones on the side are,the ones on the side are taller than the one in the middle is
224,ex_224_img_0,ex_224_img_1,fish flying,fly fishing
225,ex_225_img_0,ex_225_img_1,the red car is behind the blue car,the blue car is behind the red car
226,ex_226_img_0,ex_226_img_1,the driver wearing a shirt is in front of the other person wearing a sleeveless top,the driver wearing a sleeveless top is in front of the other person wearing a shirt
227,ex_227_img_0,ex_227_img_1,an object that rolls is on some wood,some wood is on an object that rolls
228,ex_228_img_0,ex_228_img_1,a cat viewing a human on a screen,a human viewing a cat on a screen
229,ex_229_img_0,ex_229_img_1,a normal person wishing they were a superhero,a superhero wishing they were a normal person
230,ex_230_img_0,ex_230_img_1,a mike in the right hand while raising the left,a mike in the left hand while raising the right
231,ex_231_img_0,ex_231_img_1,a person with long hair behind a person with a beard,a person with a beard behind a person with long hair
232,ex_232_img_0,ex_232_img_1,the person with hair to their shoulders has brown eyes and the other person's are blue,the person with hair to their shoulders has blue eyes and the other person's are brown
233,ex_233_img_0,ex_233_img_1,a human being on a device that intercepts the sun's rays,a device that intercepts the sun's rays on a human being
234,ex_234_img_0,ex_234_img_1,more humans than phones,more phones than humans
235,ex_235_img_0,ex_235_img_1,a person is in the tube,a tube is in the person
236,ex_236_img_0,ex_236_img_1,the person's head is above the rest of their body,the rest of their body is above the person's head
237,ex_237_img_0,ex_237_img_1,person overboard,person over board
238,ex_238_img_0,ex_238_img_1,more red buttons than blue,more blue buttons than red
239,ex_239_img_0,ex_239_img_1,the object at the top left is purple and the one at the bottom right of the group is red,the object at the bottom right is purple and the one at the top left of the group is red
240,ex_240_img_0,ex_240_img_1,flat at the bottom and pointy on top,flat on top and pointy at the bottom
241,ex_241_img_0,ex_241_img_1,seat numbers increasing from left to right,seat numbers increasing from right to left
242,ex_242_img_0,ex_242_img_1,the number on the right is larger than the number on the left,the number on the left is larger than the number on the right
243,ex_243_img_0,ex_243_img_1,more hair on the person's face than on their head,more hair on the person's head than on their face
244,ex_244_img_0,ex_244_img_1,the knife on the left and the fork on the right,the knife on the right and the fork on the left
245,ex_245_img_0,ex_245_img_1,food on their eyes,eyes on their food
246,ex_246_img_0,ex_246_img_1,cars of bits,bits of cars
247,ex_247_img_0,ex_247_img_1,a person on top of the world,the world on top of a person
248,ex_248_img_0,ex_248_img_1,two people; the one on the right has curly hair and the one on the left doesn't,two people; the one on the left has curly hair and the one on the right doesn't
249,ex_249_img_0,ex_249_img_1,"first the cream, then the jam","first the jam, then the cream"
250,ex_250_img_0,ex_250_img_1,more kisses than hugs,more hugs than kisses
251,ex_251_img_0,ex_251_img_1,an inflatable flamingo on a person,a person on an inflatable flamingo
252,ex_252_img_0,ex_252_img_1,a pink bird with a white beak,a white bird with a pink beak
253,ex_253_img_0,ex_253_img_1,a large pink inflatable flamingo along with some other lilos on the water including one that is mostly white,a large white inflatable flamingo along with some other lilos on the water including one that is mostly pink
254,ex_254_img_0,ex_254_img_1,there are more eyes in the image than there are on a typical human,there are more eyes on a typical human than there are in the image
255,ex_255_img_0,ex_255_img_1,"the confident doctor's stethoscope is around their neck, and their jacket is over their name tag","the confident doctor's stethoscope is around their neck, and their name tag is over their jacket"
256,ex_256_img_0,ex_256_img_1,few wind turbines and many clouds,few clouds and many wind turbines
257,ex_257_img_0,ex_257_img_1,an adult is reading to their young child,their young child is reading to an adult
258,ex_258_img_0,ex_258_img_1,the shopping basket is full and the shelves on the person's right are empty,the shelves on the person's right are full and the shopping basket is empty
259,ex_259_img_0,ex_259_img_1,Young person playing baseball with a green bat and blue ball,Young person playing baseball with a blue bat and green ball
260,ex_260_img_0,ex_260_img_1,painting the white wall red,painting the red wall white
261,ex_261_img_0,ex_261_img_1,wearing a red jacket over blue,wearing a blue jacket over red
262,ex_262_img_0,ex_262_img_1,I had cleaned my car,I had my car cleaned
263,ex_263_img_0,ex_263_img_1,unfortunate poor people,poor unfortunate people
264,ex_264_img_0,ex_264_img_1,there are less gloves than masks,there are less masks than gloves
265,ex_265_img_0,ex_265_img_1,there are more pineapples than boxes,there are more boxes than pineapples
266,ex_266_img_0,ex_266_img_1,the outer bristles are blue and the inner ones are white,the outer bristles are white and the inner ones are blue
267,ex_267_img_0,ex_267_img_1,the first vowel is E and the last consonant is N,the last vowel is E and the first consonant is N
268,ex_268_img_0,ex_268_img_1,the cat on the left of the photo has its right paw ahead of its left,the cat on the left of the photo has its left paw ahead of its right
269,ex_269_img_0,ex_269_img_1,the text is black on white,the text is white on black
270,ex_270_img_0,ex_270_img_1,the dog sits and the cat stands,the dog stands and the cat sits
271,ex_271_img_0,ex_271_img_1,the person with facial hair cycles and the other person runs,the person with facial hair runs and the other person cycles
272,ex_272_img_0,ex_272_img_1,using the laptop while the guitar is close by,using the guitar while the laptop is close by
273,ex_273_img_0,ex_273_img_1,a person in a blue coat with a brown-ish coffee cup,a person in a brown-ish coat with a blue coffee cup
274,ex_274_img_0,ex_274_img_1,space in a star,a star in space
275,ex_275_img_0,ex_275_img_1,star of death,death of star
276,ex_276_img_0,ex_276_img_1,the younger person is making noise while the other is silent,the younger person is silent while the other is making noise
277,ex_277_img_0,ex_277_img_1,the one on the left is happy and the other is sad,the one on the left is sad and the other is happy
278,ex_278_img_0,ex_278_img_1,the person on the left is dancing and the person on the very right is sitting on the sofa,the person on the left is sitting on the sofa and the person on the very right is dancing
279,ex_279_img_0,ex_279_img_1,the person on the left is crying sadly while the one on the right is smiling happily,the person on the left is smiling happily while the one on the right is crying sadly
280,ex_280_img_0,ex_280_img_1,the large person is drinking from the small coffee cup,the small person is drinking from the large coffee cup
281,ex_281_img_0,ex_281_img_1,hot rubber and cool metal,cool rubber and hot metal
282,ex_282_img_0,ex_282_img_1,the triangular shape is beneath the square one,the square shape is beneath the triangular one
283,ex_283_img_0,ex_283_img_1,rough outside but smooth inside,smooth outside but rough inside
284,ex_284_img_0,ex_284_img_1,the green one is fast and the one in white is comparatively slow,the green one is slow and the one in white is comparatively fast
285,ex_285_img_0,ex_285_img_1,there are more humans than balls,there are more balls than humans
286,ex_286_img_0,ex_286_img_1,there are more legs than wheels,there are more wheels than legs
